"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"Peeress","Rider R2 4.0","Sandwich","208","135","282","7.92","280.80","2.5","Mesh","6061-T6 Al + SPCC Steel","68","120","Y","200","136","42","2","-","mITX","SFX / SFX-L","","0 to 1","-","-","-","-","-","0 to 1","-","-","-","-","2","1","Y","499.00","69.05","","","","08 Sep 2023",""
"SFFTEC","Z-Case P50 V1.1","Console","291","72","378","7.92","209.52","4.2","Glass","1.5-3mm Al","60","-","Y","285","146","55","2","-","mITX","Flex ATX","5","-","-","-","2","-","-","-","-","-","-","-","2","-","-","-","199.00","Link","","Discontinued","02 Jan 2022",""
"GEEEK机箱","A35S","Sandwich","265","125","240","7.95","331.25","2.5","Acrylic","Acrylic + Al frame","53","-","Y","241","132","45","2","-","mITX / mDTX","Flex ATX","1","-","-","-","-","-","2","-","-","-","-","-","1","-","-","268.00","37.09","","","","30 Apr 2022",""
"Interstellar","i2","Sandwich","180","155","285","7.95","279.00","","Al / Glass","4-5mm 6061 Al","132","-","Y","180","145","43","2","-","mITX","SFX / SFX-L","","-","-","-","-","-","-","1","-","-","-","-","1","-","-","899.00","124.40","","","Discontinued","",""
"SGPC","K59","Console","256","93","334","7.95","238.08","3","Acrylic","1.5mm SPCC Steel","77","-","Y","245","?","40","2","-","mITX / mATX","Flex ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","219.00","30.30","","","","30 Apr 2022",""
"SGPC","K66 (V2)","Classic","245","151","215","7.95","369.95","3","Glass / Steel","1.5mm SPCC Steel","127","-","-","220","128","42","2","-","mITX","SFX","1","-","-","-","-","1","-","-","-","-","-","-","1","1","-","129.00","17.85","","","Discontinued","30 Apr 2022",""
"WDEAN DORA","R1S","Sandwich","310","140","184","7.99","434.00","2.3","Al","Al","68","120","Y","306","150","48","2","-","mITX","SFX / SFX-L","1","-","-","-","-","-","-","1","-","-","-","-","-","-","-","798.00","110.43","","","Discontinued","30 Apr 2022",""
"SGPC","K39 PRO (V2)","Sandwich","197","146","278","8.00","287.62","","Al","2-4mm Al","75","-","Y","180","?","40","2","-","mITX","SFX / SFX-L","1","-","-","-","-","-","-","0 to 1","0 to 1","-","-","-","1","1","-","249.00","34.46","","","","",""
"ASRock","DeskMeet B660","Classic","219.3","168","218.3","8.04","368.42","","Steel","Steel","54","120","-","200","?","40","2","-","Custom","ATX","","0 to 1","-","-","-","-","-","0 to 1","-","-","-","2","2","1","Y","-","224.00","","","","24 Jun 2022",""
"ASRock","DeskMeet X300","Classic","219.3","168","218.3","8.04","368.42","","Steel","Steel","54","120","-","200","?","40","2","-","Custom","ATX","","0 to 1","-","-","-","-","-","0 to 1","-","-","-","2","2","1","Y","-","189.99","","","","15 May 2023",""
"ASRock","DeskMeet X600","Classic","219.3","168","218.3","8.04","368.42","","Steel","Steel","54","120","-","200","?","40","2","-","Custom","ATX","","0 to 1","-","-","-","-","-","0 to 1","-","-","-","2","2","1","Y","-","200.00","","","","05 May 2024",""
"CaseKraken","Flip H1","Open","215","150","250","8.06","322.50","1.6","Open","2mm Steel","","-","Y","Open","Open","Open","2","-","mITX","SFX / SFX-L","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32.00","","","Discontinued","22 Nov 2022",""
"Sliger","CL520 / Console","Console","343","68","346","8.07","233.24","2.68","Steel","0.8mm SECC steel + 1.6mm 5052 Al","53.4","-","Y","335","157","40","2","-","mITX","SFX / SFX-L","","-","-","-","-","-","-","2","-","-","-","-","1","1","Y","-","149.00","Link","Link","Discontinued","12 Feb 2022",""
"Custom_Mod","SLM3 lm 8L rev.5","Console","312","75","345","8.07","234.00","2.1","Al","1.5-2mm Al + 1.5-2mm Steel","48","120","Y","305","140","62","3","-","mITX","SFX / SFX-L","3","0 to 1","-","-","-","-","-","0 to 1","-","-","-","-","-","-","-","-","161.94","","","","15 Sep 2023",""
